trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"40,False,""{'a': 0.3, 'e': 0.2018965179946554}"",20,0,27.051610414186353,""{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}"",0"
"41,False,""{'a': 0.3, 'e': 0.19398004229089186}"",35,23,-17.12035557025133,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}"",1"
"42,False,""{'a': 0.3, 'e': 0.18637397603940997}"",25,14,9.38927669468281,""{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"43,False,""{'a': 0.3, 'e': 0.17906614791149322}"",20,0,9.860494283233393,""{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}"",0"
"44,False,""{'a': 0.3, 'e': 0.1720448638230505}"",25,11,15.324417087398576,""{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"45,False,""{'a': 0.3, 'e': 0.16529888822158653}"",25,0,-28.376756650799766,""{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}"",0"
"46,False,""{'a': 0.3, 'e': 0.15881742610692068}"",20,3,27.127774655259866,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"47,False,""{'a': 0.3, 'e': 0.15259010575688386}"",25,1,16.041566469001403,""{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}"",1"
"48,False,""{'a': 0.3, 'e': 0.14660696213035015}"",20,13,3.2107112212893734,""{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"49,False,""{'a': 0.3, 'e': 0.140858420921045}"",20,2,11.633898508192889,""{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"50,False,""{'a': 0.3, 'e': 0.1353352832366127}"",20,12,13.848830540689153,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"51,False,""{'a': 0.3, 'e': 0.1300287108784259}"",25,19,10.912081610195976,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"52,False,""{'a': 0.3, 'e': 0.12493021219858241}"",25,1,28.40028351846433,""{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}"",1"
